title,link,price,rating,Number of Reviews
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version) ",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7,,4.4,(110)
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey ",https://www.amazon.sa//-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35,,4.4,(110)
"TABWEE Tablet 10 Inch Android 16 Tablet with Keyboard, 24GB RAM (8+16GB Ext.) 256GB ROM (2TB TF Expand), Octa-Core 2 in 1 Android Tablet, 5G WiFi, 5000mAh, GPS, Gemini AI, Space Gray ",https://www.amazon.sa//-/en/TABWEE-Android-Keyboard-Octa-Core-5000mAh/dp/B0F991H9R9,,4.4,(110)
HONOR Pad 10 12.1 Inch Wi-Fi Tablet 8GB RAM 256GB ROM Gray Bundle with Free Keyboard Case & Honor Choice Pencil - UAE Version ,https://www.amazon.sa//-/en/HONOR-Tablet-Bundle-Keyboard-Choice/dp/B0FDH43N59,,4.4,(110)
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version) ",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7,,4.4,(110)
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Yellow ",https://www.amazon.sa//-/en/Apple-iPad-11-inch-Display-All-Day/dp/B0DZ78TB4N,,4.4,(110)
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+ ",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18,,4.4,(110)
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+ ",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD,,4.4,(110)
"Android Tablet 11″ – Philips T7310, 8GB RAM + 128GB ROM, 1TB Expandable, Octa-Core T616, 7200mAh Battery, HD Eye Protection Display, WiFi 6, Dual Cameras, Android 16, Gemini AI (T7310-WIFI) ",https://www.amazon.sa//-/en/Android-Tablet-11%E2%80%B3-Expandable-Protection/dp/B0GPCHFPSH,,4.4,(110)
"HONOR PAD X9a, 11.5"" HONOR Fullview Display, 8300mAh Long Life, Thin Metal Design, Grey, WIFI ",https://www.amazon.sa//-/en/HONOR-Fullview-Display-8300mAh-Design/dp/B0FQCSLX87,,4.4,(110)
